max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk
5747.5431,0.1417,1.0112,0.2329,0.5666,10.2652,2381.5675,0.2779,1.4357,0.2343,36.8289,1240.9449,2.02250436,0.627,0.7,4.73,0.3,9.81547,17.84219
5750.5155,0.1417,1.0046,0.2331,0.568,10.2477,2456.9145,0.2752,1.4422,0.2683,36.6762,1253.742,2.618211483,0.79,0.8,4.299,0.45,17.6625,27.02661
5744.9881,0.1416,1.0106,0.2329,0.5666,9.8676,2426.0418,0.2756,1.4382,0.2673,36.6863,1241.2509,1.445508888,0.79,0.8,4.646,0.45,12.89666,20.21893
5747.5431,0.1417,1.0112,0.2329,0.5439,9.9683,2381.4585,0.2916,1.4384,0.2343,36.8289,1240.941,1.074917082,0.924,0.9,4.399,0.6,16.12348,22.20684
5744.9576,0.1417,1.0065,0.2329,0.5511,10.2137,2424.1529,0.2762,1.4382,0.2672,36.9107,1241.0257,1.835229344,0.663,0.7,5.051,0.3,8.75653,16.12048
5747.5431,0.1417,1.0112,0.2329,0.5439,9.9683,2406.5358,0.2756,1.4384,0.2359,36.8289,1241.2297,1.498013218,0.805,0.85,4.238,0.5,17.56304,25.26736
5826.534,0.1399,1.0048,0.2301,0.537,10.0704,2425.9473,0.2898,1.3601,0.265,36.6756,1241.3044,0.920827174,1.043,0.95,4.092,0.5,20.95192,26.66894
5747.7887,0.1416,1.0032,0.2512,0.56,10.2495,2413.6556,0.2778,1.4424,0.2664,36.6904,1241.2509,2.605353032,0.655,0.7,4.974,0.3,8.13548,15.04256
5747.929,0.142,1.0044,0.2377,0.5824,10.2443,2459.8183,0.294,1.4452,0.2677,36.4477,1241.3643,1.740235482,0.838,0.85,4.287,0.45,17.01306,24.37332
5747.5431,0.1417,1.0112,0.2329,0.5666,10.2652,2406.6449,0.2779,1.4357,0.2357,36.8289,1241.2336,1.510995043,0.782,0.8,4.669,0.45,15.0721,23.32806
5825.7605,0.142,1.0046,0.241,0.5824,10.2443,2459.7852,0.2765,1.4452,0.2677,36.6787,1247.897,1.813205619,0.75,0.8,4.105,0.5,17.39454,26.96175
